model_id,experiment_id,availability_state,availability_reason,evidence_paths,authority_commit
B1,E2,descriptive_available,internal_holdout_descriptive_available_but_legacy_gap_insufficient_support_0_of_1050,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B1,E3,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B1,E4,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B1,E5,insufficient_support,required_P1_comparator_is_model_unavailable,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B1,E6,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B1,E7,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B1,E8,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B1,E9,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B2,E1,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B2,E2,descriptive_available,internal_holdout_descriptive_available_but_legacy_gap_insufficient_support_0_of_1050,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B2,E3,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B2,E4,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B2,E5,insufficient_support,required_P1_comparator_is_model_unavailable,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B2,E6,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B2,E7,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B2,E8,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
B2,E9,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F0,E1,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F0,E2,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F0,E3,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F0,E4,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F0,E5,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F0,E6,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F0,E7,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F0,E8,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F0,E9,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F1,E1,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F1,E2,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F1,E3,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F1,E4,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F1,E5,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F1,E6,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F1,E7,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F1,E8,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
F1,E9,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P0,E1,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P0,E2,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P0,E3,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P0,E4,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P0,E5,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P0,E6,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P0,E7,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P0,E8,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P0,E9,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P1,E1,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P1,E2,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P1,E3,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P1,E4,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P1,E5,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P1,E6,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P1,E7,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P1,E8,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
P1,E9,model_unavailable,exact_five_slots_model_unavailable_not_attempted,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
M0,E1,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
M0,E2,descriptive_available,internal_holdout_descriptive_available_but_legacy_gap_insufficient_support_0_of_1050,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
M0,E3,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
M0,E4,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
M0,E5,insufficient_support,required_P1_comparator_is_model_unavailable,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
M0,E6,insufficient_support,required_P1_comparator_is_model_unavailable,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
M0,E7,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
M0,E8,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
M0,E9,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A0,E1,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A0,E2,descriptive_available,internal_holdout_descriptive_available_but_legacy_gap_insufficient_support_0_of_1050,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A0,E3,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A0,E4,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A0,E5,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A0,E6,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A0,E7,descriptive_available,pairwise_ablation_descriptive_available_but_learning_curve_and_membership_diagnostics_insufficient_0_of_4,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A0,E8,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A0,E9,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A1,E1,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A1,E2,descriptive_available,internal_holdout_descriptive_available_but_legacy_gap_insufficient_support_0_of_1050,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A1,E3,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A1,E4,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A1,E5,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A1,E6,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A1,E7,descriptive_available,pairwise_ablation_descriptive_available_but_learning_curve_and_membership_diagnostics_insufficient_0_of_4,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A1,E8,descriptive_available,published_descriptive_surface_available,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A1,E9,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A2,E1,model_unavailable,model_absent_no_substitute,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A2,E2,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/02_site_transfer/location_holdout_metrics.csv;reports/closure_v1/02_site_transfer/generalization_gap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A2,E3,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/03_thresholds/threshold_prevalence.csv;reports/closure_v1/03_thresholds/rank_stability.csv;reports/closure_v1/01_benchmark/model_metrics_long.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A2,E4,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/04_trophic/trophic_proxy_metrics.csv;reports/closure_v1/04_trophic/carlson_reference_metrics.csv;reports/closure_v1/04_trophic/nla_semantic_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A2,E5,model_unavailable,model_absent_no_substitute,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A2,E6,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/06_degradation/failure_registry.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A2,E7,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/07_anfis_ablation_evaluation/ablation_pairwise.csv;reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv;reports/closure_v1/07_anfis_ablation_evaluation/membership_stability.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A2,E8,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
A2,E9,not_applicable,model_not_applicable_to_registered_experiment_surface,reports/closure_v1/03_calibration/model_availability.csv;reports/closure_v1/09_planning/planning_bootstrap.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
