component,evidence tier,authority commit,dataset/freeze used,execution date,commit/hash,artifact,split,includes NLA,allowed conclusion
Adaptive WQP-focused PIPE-GRU-D rollout policy 2B,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze-compatible adaptive WQP-focused rollout/calibration rows.,2026-06-15T17:07:12.010196+00:00,manifest:2101035294bf; script:8d432807bbaf; artifact:e9c96bbbf29f,reports/pipe_grud/adaptive_wqp_focused/pipe_rollout_policy_2b_report.md,validation calibration and validation/test policy evaluation,yes as freeze/provenance context; rollout surface is WQP-focused,Historical or infrastructure context only; not final Closure V1 evidence. Final freeze-compatible operational policy evidence for the adaptive WQP-focused surface; closest_pr can be described as the experimental default with preserved comparison policies.
Neural ODE v1 history long80 one-step model,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze-compatible adaptive WQP-focused PIPE sequence after NLA integration.,2026-06-15T20:40:40.734279+00:00,manifest:eb3796b7295d; script:ac903466b6eb; artifact:fa2ee0caec4d,reports/pipe_neural_ode/adaptive_wqp_focused_history_v1_long80/pipe_neural_ode_history_report.md,train/validation/test,yes as freeze/provenance context; sequence is WQP-focused,"Historical or infrastructure context only; not final Closure V1 evidence. Final freeze-compatible Neural ODE v1 one-step evidence; valid as temporal comparison and candidate evidence, with no direct NLA target-transfer claim."
Neural ODE v1 matched-origin rollout policy 2B,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze-compatible adaptive WQP-focused matched-origin rollout evidence.,2026-06-15T21:07:58.293891+00:00,manifest:976826d1173f; script:5eb76f65f685; artifact:af1e1087ce3b,reports/pipe_neural_ode/adaptive_wqp_focused_history_v1_long80/pipe_neural_ode_history_rollout_policy_2b_report.md,validation calibration and validation/test matched-origin policy evaluation,yes as freeze/provenance context; matched-origin surface is WQP-focused,Historical or infrastructure context only; not final Closure V1 evidence. Final freeze-compatible matched-origin Neural ODE v1 alert evidence; supports comparative temporal conclusions against PIPE-GRU-D under the same matched-origin geometry.
Neural ODE v2 continuous direct comparison,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze-compatible adaptive WQP-focused comparison surface.,2026-06-27T15:38:23.047716+00:00,manifest:0f52c0d23427; script:5eb76f65f685; artifact:87a8c966475a,reports/pipe_neural_ode/adaptive_wqp_focused_continuous_v2_full_direct_h123/pipe_neural_ode_continuous_direct_alert_policy_2b_report.md,validation calibration and validation/test matched-origin policy evaluation,yes as freeze/provenance context; comparison surface is WQP-focused,Historical or infrastructure context only; not final Closure V1 evidence. Comparative Neural ODE v2 evidence only; it does not replace the selected v1 candidate or prove a universal continuous-time advantage.
Controlled degradation WQP-focused core full,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze-derived no-current WQP-focused degradation protocol and PIPE-GRU-D rollout surface.,2026-06-15T14:04:54.459483+00:00,manifest:8422ce8e6bf9; script:18a9b6007c9b; artifact:a58d8b6f84fd,reports/degradation/controlled_degradation_no_current_chla_wqp_focused_raw_core_full_report.md,test,yes in panel/freeze context; evaluated rollout keys are WQP-focused,Historical or infrastructure context only; not final Closure V1 evidence. Final diagnostic robustness evidence for the WQP-focused no-current surface; not evidence that all variables are causally unimportant or that NLA contributes direct targets.
MIFAL-ED/T2 versus PIPE-GRU-D bloom comparison,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze-compatible adaptive WQP-focused matched PIPE-GRU-D holdout surface.,2026-06-27T17:23:53.484148+00:00,manifest:e40fc828ed07; script:1a524579b0d3; artifact:176618f5db44,reports/mifal/mifal_vs_pipe_grud_bloom_holdout_comparison_report.md,test/holdout comparison,yes as freeze/provenance context; matched comparison is WQP-focused,Historical or infrastructure context only; not final Closure V1 evidence. Final comparative MIFAL evidence; supports the negative predictive result versus adaptive PIPE-GRU-D for bloom_h and the diagnostic role under degradation.
Counterfactual planning v0 state-proxy grid,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze-compatible adaptive WQP-focused planning rows.,2026-06-28T13:38:08.355964+00:00,manifest:d058f93b6469; script:96915e9844b8; artifact:cf4121f6cb24,reports/planning/counterfactual_grid_test_crisis_report.md,test crisis scenario,yes as freeze/provenance context; planning rows are WQP-focused,"Historical or infrastructure context only; not final Closure V1 evidence. Simulation-based planning evidence only; supports scenario ranking under declared proxy assumptions, not causal field effects."
Counterfactual planning v1 raw-proxy support-aware grid,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Current freeze-compatible adaptive WQP-focused planning rows plus raw panel proxies.,2026-06-28T14:58:55.602300+00:00,manifest:331335162f3d; script:6daaf4d66d96; artifact:c847b81e887d,reports/planning/counterfactual_raw_proxy_v1_test_report.md,test normal scenario,yes as freeze/provenance context; planning rows are WQP-focused,"Historical or infrastructure context only; not final Closure V1 evidence. Final conservative planning V1 evidence; supports the conclusion that no_action remains top-ranked under support-aware raw proxies, not causal intervention guidance."
API/OpenAPI scientific workflow layer,historical_or_infrastructure,row-specific historical provenance; see commit/hash,Software interface over external datasets and reference artifacts; not a model retraining experiment.,2026-06-29 methodology closure,artifact:d94e053a8fd4,docs/API_PROTOCOL.md,not applicable,not applicable to API runtime; reference artifacts inherit their own scope,Historical or infrastructure context only; not final Closure V1 evidence. Software reproducibility and workflow-interface evidence; do not present as new model performance or universal external-domain validation.
Closure V1 final adjudication matrix,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 locked internal pseudoprospective WQP evaluation; final adjudication of E1-E10.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:25cc1f844700,reports/closure_v1/11_synthesis/FINAL_CLOSURE_MATRIX.csv,353 development locations and 88 held-out WQP monitoring locations; evaluation from 2022-01,semantic provenance and enrichment only; no direct monthly WQP target transfer,"Final Closure V1 authority for 130 adjudication rows; no conclusive predictive corroboration, with explicit unavailability and a reproducible methodological and engineering contribution."
Closure V1 approved thesis claim map,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 final synthesis; 20 approved manuscript claims.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:67f6d6446822,reports/closure_v1/11_synthesis/THESIS_CLAIM_EVIDENCE_MATRIX.csv,internal pseudoprospective WQP evaluation; destination-specific manuscript wording,semantic provenance and enrichment only; external validation is forbidden,"Final wording boundary for Chapters III-V, Summary, Abstract and Conclusion; descriptive evidence may be reported only with its denominators and limitations."
Closure V1 cohort and intent-to-predict accounting,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 locked evaluation surface and retained terminal-status rows.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:dd5f2392378f,reports/closure_v1/11_synthesis/THESIS_TABLES/T02_intent_to_predict_funnel.csv,"88 held-out WQP locations; 4,488 origins; horizons h1-h3",provenance only; operational surface is WQP,"Final descriptive accounting of 13,464 origin-horizon attempts; failures and unavailable predictions remain in the intent-to-predict denominator."
Closure V1 E1 dual benchmark,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 estimable auxiliary branches with five algorithmic slots.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:801d1927cdb6,reports/closure_v1/11_synthesis/THESIS_TABLES/T03_dual_benchmark.csv,internal WQP holdout; observation-weighted and site-weighted estimands kept separate,provenance only; no direct NLA target learning,"Descriptive horizon-specific rankings with exact attempted, successful and metric-evaluable denominators; no universal winner and no substitution of P0, P1 or A2."
Closure V1 E2 internal site transfer,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 registered legacy-to-locked internal WQP transfer surface.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:73225f2e6cdd,reports/closure_v1/11_synthesis/THESIS_TABLES/T05_site_transfer.csv,"held-out WQP locations; 1,050 registered cells",no external NLA target transfer,"None of the 1,050 E2 cells was estimable because the legacy evaluation surface was not frozen before outcome access; this is not evidence of zero gap or external validation."
Closure V1 E3 threshold sensitivity,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 sealed threshold analysis.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:3c2f7dbb9a94,reports/closure_v1/11_synthesis/THESIS_TABLES/T06_threshold_sensitivity.csv,internal WQP holdout; horizons h1-h3,provenance only,"Descriptive sensitivity at 25, 30, 33 and 50 micrograms per litre; project thresholds, not official ecological standards, with sparse support at 50."
Closure V1 E4 trophic references,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 internal WQP proxy and declared Carlson-reference summaries.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:1ad51362b6a2,reports/closure_v1/11_synthesis/THESIS_TABLES/T07_trophic_performance.csv,internal WQP holdout; proxy/reference-by-horizon cells,semantic provenance only; no direct monthly WQP target validation,B2 improved on B1 across all four ordinal metrics in 15 of 15 descriptive reference-horizon summaries; this is not external NLA validation.
Closure V1 E5 multiplicity ledger,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 complete preregistered Holm universes.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:54e93acc71f9,reports/closure_v1/11_synthesis/THESIS_TABLES/T08_multiplicity_ledger.csv,registered estimands across E1-E9,not applicable to multiplicity accounting,"Holm families A=3, B=78, C=1, D=9 and E=1 are retained without reduction; non-estimability is not a zero effect or equivalence."
Closure V1 E6 degradation and E9 planning availability,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 registered degradation and planning estimands.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:ff0084649a7c,reports/closure_v1/11_synthesis/THESIS_TABLES/T11_e6_e9_unavailability.csv,internal WQP holdout; 78 degradation cells and 9 planning actions,provenance only,"E6 has 0 of 78 estimable cells and E9 has 0 of 9 estimable actions because required models were unavailable; no robustness, causality, net-benefit, optimality or official recommendation claim is authorized."
Closure V1 E7 ANFIS ablation and diagnostics,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 A1-versus-A0 exact-common-row ablation and sentinel diagnostics.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:1bf06bcefca4,reports/closure_v1/11_synthesis/THESIS_TABLES/T09_anfis_ablation.csv,internal WQP holdout; five algorithmic slots; horizons h1-h3,provenance only,"A1-A0 directions are descriptive on exact common rows; 0 of 4 prespecified learning-curve and membership-stability diagnostics were available, so no saturation or stability claim is permitted."
Closure V1 E8 uncertainty diagnostics,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 sealed raw-Gaussian versus locked-conformal diagnostics.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:2d0a7c37059a,reports/closure_v1/11_synthesis/THESIS_TABLES/T10_uncertainty.csv,internal WQP holdout; 30 paired primary A0/A1 model-slot-horizon groups,provenance only,"Raw Gaussian was within the 0.05 margin in 30 of 30 groups versus 26 of 30 for locked conformal; locked was closer in 5 of 30 and wider in 30 of 30. This is descriptive, not global calibration, and no recalibration was performed."
Closure V1 E10 software evidence,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 recovery-2 software evidence and sealed runtime environment.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:d2e832084d54,reports/closure_v1/11_synthesis/THESIS_TABLES/T12_software_evidence.csv,software verification; not a predictive estimand,not applicable to software certification,"E10 verifies 338 passing public tests, 9 justified skips, 3 passing E2E tests, 69 OpenAPI paths, 83 operations and the sealed environment; software verification does not establish scientific efficacy."
Closure V1 final report and hypothesis verdicts,closure_v1_final,ea8ddce7f8edb9a61db97e29178e52603fa371b1,Closure V1 approved synthesis of E1-E10 and H1-H5b.,2026-08-20 R-SYN publication,closure-source:ea8ddce7f8edb9a61db97e29178e52603fa371b1; synthesis-publication:528dcb74a7c08b65f262901e4562a67b784db8c9; manifest:fbe46962befb; script:b031b9cc8958; artifact:56e41dda24cf,reports/closure_v1/11_synthesis/FINAL_CLOSURE_REPORT.md,internal pseudoprospective WQP evaluation and separate software evidence,semantic provenance and enrichment only; no external validation,H1 has limited descriptive support; H2 and H4 are not estimable; H3 is partial descriptive evidence; H5a is not scientifically confirmed; H5b is not estimable; the global predictive verdict is non-conclusive.
